Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
Journal of Great Lakes Research	Elsevier	ScienceDirect	0380-1330		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Hand Therapy	Elsevier	ScienceDirect	0894-1130	1545-004X	0	0	0	0	0	0	0	0	2	1	0	0	3	1	2
Journal of Hazardous Materials	Elsevier	ScienceDirect	0304-3894		0	1	0	0	5	0	0	0	3	4	0	2	15	8	7
Journal of Health Economics	Elsevier	ScienceDirect	0167-6296		2	2	4	0	4	4	3	1	2	3	0	3	28	15	13
Journal of Hepatology	Elsevier	ScienceDirect	0168-8278	1600-0641	110	103	48	100	88	93	71	43	66	70	42	32	866	464	402
Journal of Historical Geography	Elsevier	ScienceDirect	0305-7488	1095-8614	0	0	0	0	0	1	0	0	0	0	1	0	2	0	2
Journal of Hospital Infection	Elsevier	ScienceDirect	0195-6701		7	23	2	5	20	8	16	10	8	12	5	12	128	48	80
Journal of Housing Economics	Elsevier	ScienceDirect	1051-1377	1096-0791	10	16	3	11	13	12	7	2	23	10	17	5	129	62	67
Journal of Human Evolution	Elsevier	ScienceDirect	0047-2484	1095-8606	2	2	3	1	5	0	1	1	0	0	1	1	17	7	10
Journal of Hydrology	Elsevier	ScienceDirect	0022-1694		1	1	0	0	0	1	0	2	0	7	5	1	18	11	7
Journal of Immunological Methods	Elsevier	ScienceDirect	0022-1759		58	56	67	32	32	55	67	30	32	49	27	30	535	270	265
Journal of Infection	Elsevier	ScienceDirect	0163-4453		3	1	5	1	1	0	0	0	2	4	0	0	17	7	10
Journal of Infection and Public Health	Elsevier	ScienceDirect	1876-0341		2	0	0	0	0	0	0	2	1	0	0	2	7	4	3
Journal of Inorganic and Nuclear Chemistry	Elsevier	ScienceDirect	0022-1902		14	3	2	6	4	1	0	3	5	3	6	3	50	0	50
Journal of Inorganic Biochemistry	Elsevier	ScienceDirect	0162-0134		3	4	4	3	3	1	1	0	1	1	3	1	25	10	15
Journal of Insect Physiology	Elsevier	ScienceDirect	0022-1910		53	34	19	16	24	30	35	13	43	32	37	19	355	181	174
Journal of Interactive Marketing	Elsevier	ScienceDirect	1094-9968	1520-6653	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Journal of International Accounting, Auditing and Taxation	Elsevier	ScienceDirect	1061-9518		0	0	0	1	2	0	0	2	0	0	1	0	6	3	3
Journal of International Economics	Elsevier	ScienceDirect	0022-1996		10	1	23	5	2	7	1	5	14	19	5	3	95	34	61
Journal of International Financial Markets, Institutions and Money	Elsevier	ScienceDirect	1042-4431		3	0	0	0	1	0	2	0	0	2	3	1	12	6	6
Journal of International Management	Elsevier	ScienceDirect	1075-4253		0	0	2	0	3	2	1	2	0	1	0	0	11	5	6
Journal of International Money and Finance	Elsevier	ScienceDirect	0261-5606		1	0	3	3	3	2	0	0	3	3	1	2	21	7	14
Journal of Invertebrate Pathology	Elsevier	ScienceDirect	0022-2011	1096-0805	5	0	0	0	0	1	0	0	1	4	3	0	14	2	12
Journal of King Saud University - Computer and Information Sciences	Elsevier	ScienceDirect	1319-1578		0	0	0	0	2	0	0	0	0	0	2	0	4	1	3
Journal of King Saud University - Science	Elsevier	ScienceDirect	1018-3647		0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Journal of Laboratory and Clinical Medicine	Elsevier	ScienceDirect	0022-2143		3	1	0	1	3	1	0	1	0	1	0	0	11	6	5
Journal of Luminescence	Elsevier	ScienceDirect	0022-2313		30	15	12	9	22	14	7	7	36	14	8	11	185	88	97
Journal of Macroeconomics	Elsevier	ScienceDirect	0164-0704		5	2	0	0	0	0	0	0	0	0	1	0	8	1	7
Journal of Magnetic Resonance	Elsevier	ScienceDirect	1090-7807		15	18	15	30	42	6	15	24	11	14	8	7	205	113	92
Journal of Magnetic Resonance (1969)	Elsevier	ScienceDirect	0022-2364		7	14	5	2	2	2	1	7	2	9	4	1	56	0	56
Journal of Magnetic Resonance, Series A	Elsevier	ScienceDirect	1064-1858		1	6	2	0	0	0	2	1	0	0	1	0	13	0	13
Journal of Magnetic Resonance, Series B	Elsevier	ScienceDirect	1064-1866		0	2	1	1	0	1	0	0	0	1	3	0	9	0	9
Journal of Magnetism and Magnetic Materials	Elsevier	ScienceDirect	0304-8853		66	74	64	70	58	48	145	80	105	107	45	31	893	513	380
Journal of Management	Elsevier	ScienceDirect	0149-2063		3	3	0	4	0	4	1	0	0	7	3	7	32	5	27
Journal of Manufacturing Systems	Elsevier	ScienceDirect	0278-6125		0	0	0	2	0	0	0	0	0	0	2	0	4	1	3
Journal of Marine and Island Cultures	Elsevier	ScienceDirect	2212-6821		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Journal of Marine Systems	Elsevier	ScienceDirect	0924-7963		0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Journal of Materials Processing Technology	Elsevier	ScienceDirect	0924-0136		7	5	2	8	1	0	2	1	2	1	23	2	54	14	40
Journal of Mathematical Analysis and Applications	Elsevier	ScienceDirect	0022-247X	1096-0813	5	7	3	4	2	3	4	1	3	1	1	4	38	0	38
Journal of Mathematical Analysis and Applications	Elsevier	ScienceDirect	0022-247X	1096-0813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Mathematical Economics	Elsevier	ScienceDirect	0304-4068		0	0	1	2	0	1	0	0	0	0	2	0	6	0	6
Journal of Mathematical Psychology	Elsevier	ScienceDirect	0022-2496	1096-0880	1	6	0	0	1	2	3	3	4	5	3	1	29	5	24
Journal of Maxillofacial Surgery	Elsevier	ScienceDirect	0301-0503		0	9	0	0	1	0	0	0	0	0	0	0	10	0	10
Journal of Medieval History	Elsevier	ScienceDirect	0304-4181		0	6	0	0	2	31	2	0	0	0	0	0	41	15	26
Journal of Membrane Science	Elsevier	ScienceDirect	0376-7388		3	5	6	9	6	7	3	3	3	10	13	1	69	33	36
Journal of Memory and Language	Elsevier	ScienceDirect	0749-596X	1096-0821	3	16	25	13	23	11	13	14	27	25	27	6	203	83	120
Journal of Microbiological Methods	Elsevier	ScienceDirect	0167-7012		11	20	16	12	19	30	19	16	5	5	12	3	168	112	56
Journal of Microcomputer Applications	Elsevier	ScienceDirect	0745-7138		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Midwifery & Women's Health	Elsevier	ScienceDirect	1526-9523		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Minimally Invasive Gynecology	Elsevier	ScienceDirect	1553-4650	1553-4669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Molecular and Cellular Cardiology	Elsevier	ScienceDirect	0022-2828	1095-8584	20	14	12	34	17	14	10	25	24	20	27	10	227	108	119
Journal of Molecular Biology	Elsevier	ScienceDirect	0022-2836		177	147	116	190	134	134	148	125	114	175	177	75	1712	942	770
Journal of Molecular Catalysis A: Chemical	Elsevier	ScienceDirect	1381-1169		37	35	31	22	36	25	27	22	50	25	35	14	359	182	177
Journal of Molecular Catalysis B: Enzymatic	Elsevier	ScienceDirect	1381-1177		0	1	9	2	3	1	2	1	8	0	6	2	35	26	9
Journal of Molecular Graphics	Elsevier	ScienceDirect	0263-7855		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Journal of Molecular Graphics and Modelling	Elsevier	ScienceDirect	1093-3263		2	0	0	1	1	0	0	0	0	1	0	2	7	6	1
Journal of Molecular Liquids	Elsevier	ScienceDirect	0167-7322		26	40	28	8	10	50	13	9	16	17	20	13	250	113	137
Journal of Molecular Spectroscopy	Elsevier	ScienceDirect	0022-2852	1096-083X	3	4	0	6	3	5	7	8	4	2	3	1	46	2	44
Journal of Molecular Structure	Elsevier	ScienceDirect	0022-2860		17	12	19	23	19	23	14	21	24	12	19	18	221	96	125
Journal of Molecular Structure: THEOCHEM	Elsevier	ScienceDirect	0166-1280		18	14	11	8	23	13	11	24	7	21	14	15	179	81	98
Journal of Monetary Economics	Elsevier	ScienceDirect	0304-3932		6	6	3	6	2	33	9	1	5	7	6	5	89	27	62
Journal of Multinational Financial Management	Elsevier	ScienceDirect	1042-444X		0	0	0	0	0	0	0	0	0	2	0	0	2	1	1
Journal of Multinational Financial Management	Elsevier	ScienceDirect	1042-444X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Multivariate Analysis	Elsevier	ScienceDirect	0047-259X	1095-7243	1	2	1	1	0	0	2	2	1	2	1	0	13	2	11
Journal of Multivariate Analysis	Elsevier	ScienceDirect	0047-259X	1095-7243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Network and Computer Applications	Elsevier	ScienceDirect	1084-8045	1095-8592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Neuroimmunology	Elsevier	ScienceDirect	0165-5728		29	17	9	36	25	24	46	19	21	25	30	12	293	156	137
Journal of Neurolinguistics	Elsevier	ScienceDirect	0911-6044		0	0	0	1	0	0	1	3	0	0	1	0	6	3	3
Journal of Neuroscience Methods	Elsevier	ScienceDirect	0165-0270		13	22	13	12	13	16	11	25	15	19	19	10	188	111	77
Journal of Non-Crystalline Solids	Elsevier	ScienceDirect	0022-3093		2	2	7	11	8	6	14	5	5	9	6	0	75	41	34
Journal of Non-Newtonian Fluid Mechanics	Elsevier	ScienceDirect	0377-0257		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Nuclear Materials	Elsevier	ScienceDirect	0022-3115		2	0	1	1	0	0	3	0	0	1	0	0	8	1	7
Journal of Number Theory	Elsevier	ScienceDirect	0022-314X	1096-1658	0	8	0	0	3	4	3	0	6	2	2	2	30	1	29
Journal of Number Theory	Elsevier	ScienceDirect	0022-314X	1096-1658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Nurse-Midwifery	Elsevier	ScienceDirect	0091-2182		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Journal of Nutrition Education	Elsevier	ScienceDirect	0022-3182		1	0	1	0	0	0	0	0	0	1	0	1	4	0	4
Journal of Nutrition Education and Behavior	Elsevier	ScienceDirect	1499-4046		0	0	0	0	0	3	0	0	0	0	0	0	3	1	2
Journal of Occupational Accidents	Elsevier	ScienceDirect	0376-6349		0	0	0	0	0	0	0	0	3	0	0	0	3	0	3
Journal of Operations Management	Elsevier	ScienceDirect	0272-6963		16	0	6	3	15	16	13	3	4	2	7	8	93	33	60
Journal of Oral and Maxillofacial Surgery	Elsevier	ScienceDirect	0278-2391	1531-5053	43	60	83	27	45	22	19	18	14	20	21	8	380	186	194
Journal of Oral Biosciences	Elsevier	ScienceDirect	1349-0079	1880-3865	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0
Journal of Organometallic Chemistry	Elsevier	ScienceDirect	0022-328X		116	103	120	111	118	123	96	117	124	110	114	64	1316	403	913
Journal of Orthopaedic Research	Elsevier	ScienceDirect	0736-0266		0	2	3	1	0	1	0	1	0	0	2	2	12	6	6
Journal of Pain and Symptom Management	Elsevier	ScienceDirect	0885-3924		8	0	9	6	9	10	13	18	1	6	1	0	81	39	42
Journal of Parallel and Distributed Computing	Elsevier	ScienceDirect	0743-7315	1096-0848	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Journal of Pediatric Health Care	Elsevier	ScienceDirect	0891-5245		0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Journal of Pediatric Surgery	Elsevier	ScienceDirect	0022-3468		29	9	12	14	16	4	3	34	14	15	9	6	165	65	100
Journal of Petroleum Science and Engineering	Elsevier	ScienceDirect	0920-4105		0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
Journal of Pharmaceutical and Biomedical Analysis	Elsevier	ScienceDirect	0731-7085		42	27	15	19	44	28	55	43	20	35	41	19	388	213	175
Journal of Pharmacological and Toxicological Methods	Elsevier	ScienceDirect	1056-8719		1	5	2	1	0	0	0	4	3	0	0	1	17	8	9
Journal of Pharmacological Methods	Elsevier	ScienceDirect	0160-5402		0	0	0	0	0	0	2	1	0	1	0	0	4	0	4
Journal of Pharmacy Research	Elsevier	ScienceDirect	0974-6943		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
Journal of Phonetics	Elsevier	ScienceDirect	0095-4470	1095-8576	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2
Journal of Photochemistry	Elsevier	ScienceDirect	0047-2670		4	3	1	2	5	4	5	3	3	3	1	2	36	0	36
Journal of Photochemistry and Photobiology A: Chemistry	Elsevier	ScienceDirect	1010-6030		43	38	27	14	20	18	29	17	20	47	21	17	311	132	179
Journal of Photochemistry and Photobiology B: Biology	Elsevier	ScienceDirect	1011-1344		25	39	41	21	5	4	14	5	23	17	5	8	207	97	110
Journal of Photochemistry and Photobiology C: Photochemistry Reviews	Elsevier	ScienceDirect	1389-5567		0	0	2	1	2	0	0	6	2	0	1	0	14	8	6
Journal of Physics and Chemistry of Solids	Elsevier	ScienceDirect	0022-3697		15	12	23	9	15	17	13	13	8	17	22	16	180	30	150
Journal of Physiology-Paris	Elsevier	ScienceDirect	0928-4257		0	4	2	0	0	0	3	2	0	0	0	0	11	4	7
Journal of Plant Physiology	Elsevier	ScienceDirect	0176-1617		0	1	0	1	0	1	0	0	1	0	3	0	7	0	7
Journal of Plastic, Reconstructive & Aesthetic Surgery	Elsevier	ScienceDirect	1748-6815		15	12	28	41	64	19	19	10	13	17	14	16	268	145	123
Journal of Policy Modeling	Elsevier	ScienceDirect	0161-8938		1	0	0	0	0	1	0	0	0	0	1	0	3	0	3
Journal of Power Sources	Elsevier	ScienceDirect	0378-7753		0	0	0	0	0	0	0	0	0	3	0	0	3	3	0
Journal of Pragmatics	Elsevier	ScienceDirect	0378-2166		6	3	6	8	2	8	4	3	4	5	0	1	50	0	50
Journal of Process Control	Elsevier	ScienceDirect	0959-1524		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Product Innovation Management	Elsevier	ScienceDirect	0737-6782		6	7	3	9	21	8	2	17	4	11	18	2	108	9	99
Journal of Prosthodontic Research	Elsevier	ScienceDirect	1883-1958		0	0	0	0	0	0	0	0	0	0	0	2	2	1	1
Journal of Proteomics	Elsevier	ScienceDirect	1874-3919		12	7	34	9	8	5	23	12	8	12	7	5	142	86	56
Journal of Psychiatric Research	Elsevier	ScienceDirect	0022-3956		12	11	14	0	12	0	11	13	22	2	5	3	105	51	54
Journal of Psychosomatic Research	Elsevier	ScienceDirect	0022-3999		56	15	43	10	29	37	13	12	17	20	24	25	301	146	155
Journal of Public Economics	Elsevier	ScienceDirect	0047-2727		7	3	5	4	8	7	1	3	1	1	9	4	53	18	35
Journal of Purchasing and Supply Management	Elsevier	ScienceDirect	1478-4092		0	0	0	3	0	0	0	0	0	0	0	0	3	0	3
Journal of Pure and Applied Algebra	Elsevier	ScienceDirect	0022-4049		3	7	18	5	4	13	11	5	4	15	18	3	106	40	66
Journal of Quantitative Spectroscopy and Radiative Transfer	Elsevier	ScienceDirect	0022-4073		0	0	1	0	0	0	1	1	0	0	0	1	4	0	4
Journal of Reproduction and Contraception	Elsevier	ScienceDirect	1001-7844		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Journal of Reproductive Immunology	Elsevier	ScienceDirect	0165-0378		2	0	0	0	2	0	0	1	0	0	1	7	13	4	9
Journal of Research in Personality	Elsevier	ScienceDirect	0092-6566	1095-7251	11	9	7	7	11	7	9	5	7	3	7	4	87	20	67
Journal of Retailing	Elsevier	ScienceDirect	0022-4359		3	4	16	9	5	22	8	5	11	6	2	4	95	36	59
Journal of Retailing and Consumer Services	Elsevier	ScienceDirect	0969-6989		2	1	2	0	3	3	2	0	5	4	0	0	22	9	13
Journal of Rural Studies	Elsevier	ScienceDirect	0743-0167		0	0	2	4	0	0	0	0	0	0	0	1	7	3	4
Journal of Safety Research	Elsevier	ScienceDirect	0022-4375		0	2	2	0	3	1	1	0	1	0	0	0	10	3	7
Journal of Saudi Chemical Society	Elsevier	ScienceDirect	1319-6103		2	2	3	2	1	1	0	0	0	4	0	1	16	10	6
Journal of School Psychology	Elsevier	ScienceDirect	0022-4405		8	7	4	6	11	4	0	1	0	2	4	1	48	22	26
Journal of Sea Research	Elsevier	ScienceDirect	1385-1101		0	0	0	0	0	0	1	1	0	0	0	0	2	0	2
Journal of Second Language Writing	Elsevier	ScienceDirect	1060-3743		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Shoulder and Elbow Surgery	Elsevier	ScienceDirect	1058-2746	1532-6500	7	1	6	15	4	18	4	17	9	19	27	6	133	44	89
Journal of Social and Biological Structures	Elsevier	ScienceDirect	0140-1750		0	0	0	0	1	0	0	0	0	0	0	0	1	0	1
Journal of Social and Evolutionary Systems	Elsevier	ScienceDirect	1061-7361		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Solid State Chemistry	Elsevier	ScienceDirect	0022-4596	1095-726X	21	20	17	21	26	22	34	21	14	21	37	17	271	86	185
Journal of Sound and Vibration	Elsevier	ScienceDirect	0022-460X	1095-8568	2	0	0	0	0	3	2	2	5	1	1	5	21	6	15
Journal of Sound and Vibration	Elsevier	ScienceDirect	0022-460X	1095-8568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of South American Earth Sciences	Elsevier	ScienceDirect	0895-9811		0	0	0	1	0	0	2	0	0	3	2	0	8	6	2
Journal of Southeast Asian Earth Sciences	Elsevier	ScienceDirect	0743-9547		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Statistical Planning and Inference	Elsevier	ScienceDirect	0378-3758		4	11	3	3	1	3	5	2	4	3	7	2	48	21	27
Journal of Steroid Biochemistry	Elsevier	ScienceDirect	0022-4731		4	1	0	3	1	2	2	1	2	1	0	2	19	0	19
Journal of Stored Products Research	Elsevier	ScienceDirect	0022-474X		0	0	0	1	0	3	0	0	0	2	0	0	6	1	5
Journal of Stored Products Research	Elsevier	ScienceDirect	0022-474X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Stroke and Cerebrovascular Diseases	Elsevier	ScienceDirect	1052-3057	1532-8511	3	2	0	1	2	2	2	0	1	0	0	2	15	7	8
Journal of Structural Biology	Elsevier	ScienceDirect	1047-8477	1095-8657	20	28	17	27	25	17	4	17	13	25	20	15	228	127	101
Journal of Structural Geology	Elsevier	ScienceDirect	0191-8141		0	3	0	1	0	0	0	0	0	1	1	1	7	5	2
Journal of Substance Abuse	Elsevier	ScienceDirect	0899-3289		0	3	0	0	2	3	0	6	6	0	0	0	20	4	16
Journal of Substance Abuse Treatment	Elsevier	ScienceDirect	0740-5472		2	1	2	1	2	1	0	3	6	0	0	0	18	5	13
Journal of Supramolecular Chemistry	Elsevier	ScienceDirect	1472-7862		1	0	1	0	0	0	0	0	0	2	2	0	6	4	2
Journal of Surgical Education	Elsevier	ScienceDirect	1931-7204		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Surgical Research	Elsevier	ScienceDirect	0022-4804	1095-8673	16	11	17	10	17	14	9	13	15	3	10	11	146	55	91
Journal of Symbolic Computation	Elsevier	ScienceDirect	0747-7171	1095-855X	0	1	1	0	0	1	0	0	2	1	0	0	6	0	6
Journal of Systems and Software	Elsevier	ScienceDirect	0164-1212		0	2	0	0	0	0	0	0	1	4	16	13	36	17	19
Journal of Systems Architecture	Elsevier	ScienceDirect	1383-7621		0	0	0	0	1	0	0	0	0	0	0	1	2	2	0
Journal of Taibah University for Science	Elsevier	ScienceDirect	1658-3655		0	0	0	0	0	0	0	0	0	0	4	0	4	2	2
Journal of Taibah University Medical Sciences	Elsevier	ScienceDirect	1658-3612		0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Journal of Terramechanics	Elsevier	ScienceDirect	0022-4898		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the American Academy of Child & Adolescent Psychiatry	Elsevier	ScienceDirect	0890-8567		0	0	0	0	3	0	0	0	1	0	0	0	4	3	1
Journal of the American Academy of Dermatology	Elsevier	ScienceDirect	0190-9622	1097-6787	18	47	77	67	40	10	53	24	50	38	24	53	501	233	268
Journal of the American College of Cardiology	Elsevier	ScienceDirect	0735-1097		68	108	100	74	105	116	104	126	169	169	187	91	1417	694	723
Journal of the American College of Emergency Physicians	Elsevier	ScienceDirect	0361-1124		1	0	0	0	0	1	1	0	0	0	2	0	5	0	5
Journal of the American College of Surgeons	Elsevier	ScienceDirect	1072-7515		18	11	36	38	34	19	16	37	24	19	32	30	314	161	153
Journal of the American Dietetic Association	Elsevier	ScienceDirect	0002-8223		0	0	2	3	0	0	0	0	0	0	0	0	5	0	5
Journal of the American Medical Directors Association	Elsevier	ScienceDirect	1525-8610		2	0	0	0	0	0	2	0	0	0	0	0	4	2	2
Journal of the American Society for Mass Spectrometry	Elsevier	ScienceDirect	1044-0305		21	10	12	8	2	6	9	9	3	2	0	4	86	47	39
Journal of the American Society for Surgery of the Hand	Elsevier	ScienceDirect	1531-0914		0	0	0	0	0	0	0	0	1	1	0	0	2	0	2
Journal of the American Society of Echocardiography	Elsevier	ScienceDirect	0894-7317		0	2	0	0	0	0	4	2	2	0	0	0	10	5	5
Journal of the Autonomic Nervous System	Elsevier	ScienceDirect	0165-1838		0	0	2	0	1	0	4	1	0	0	0	0	8	3	5
Journal of The British Contact Lens Association	Elsevier	ScienceDirect	0141-7037		0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Journal of the Egyptian National Cancer Institute	Elsevier	ScienceDirect	1110-0362		2	0	0	0	0	0	0	0	0	0	0	0	2	1	1
Journal of the European Academy of Dermatology and Venereology	Elsevier	ScienceDirect	0926-9959		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the European Ceramic Society	Elsevier	ScienceDirect	0955-2219		1	0	1	0	0	0	0	0	0	0	0	0	2	0	2
Journal of the Faculty of Radiologists	Elsevier	ScienceDirect	0368-2242		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of the Forensic Science Society	Elsevier	ScienceDirect	0015-7368		1	0	0	2	0	0	0	0	0	0	0	0	3	0	3
Journal of the Franklin Institute	Elsevier	ScienceDirect	0016-0032		0	1	1	0	1	0	3	2	1	0	0	0	9	0	9
Journal of the Japanese and International Economies	Elsevier	ScienceDirect	0889-1583	1095-8681	1	0	0	0	0	0	0	1	0	3	3	1	9	0	9
Journal of the Korean Statistical Society	Elsevier	ScienceDirect	1226-3192		0	0	0	3	0	0	0	0	0	2	0	0	5	4	1
Journal of the Mechanical Behavior of Biomedical Materials	Elsevier	ScienceDirect	1751-6161		0	0	0	0	0	0	0	0	3	0	0	0	3	1	2
Journal of the Mechanics and Physics of Solids	Elsevier	ScienceDirect	0022-5096		15	1	0	0	0	2	0	1	2	0	1	2	24	7	17
Journal of the Neurological Sciences	Elsevier	ScienceDirect	0022-510X		9	10	15	11	11	1	4	2	8	11	25	7	114	59	55
Journal of the Saudi Society of Agricultural Sciences	Elsevier	ScienceDirect	1658-077X		0	0	0	0	0	0	2	0	0	0	0	0	2	1	1
Journal of the Saudi Society of Dermatology & Dermatologic Surgery	Elsevier	ScienceDirect	2210-836X		0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Journal of Theoretical Biology	Elsevier	ScienceDirect	0022-5193	1095-8541	17	10	29	10	22	9	8	14	11	16	13	2	161	50	111
Journal of Thermal Biology	Elsevier	ScienceDirect	0306-4565		0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Journal of Trace Elements in Medicine and Biology	Elsevier	ScienceDirect	0946-672X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Transport Geography	Elsevier	ScienceDirect	0966-6923		2	7	2	3	0	0	0	11	0	5	0	0	30	11	19
Journal of Ultrastructure and Molecular Structure Research	Elsevier	ScienceDirect	0889-1605		0	1	0	0	1	0	0	0	0	0	0	1	3	0	3
Journal of Ultrastructure Research	Elsevier	ScienceDirect	0022-5320		1	1	4	3	1	1	1	3	1	2	0	0	18	0	18
Journal of Urban Economics	Elsevier	ScienceDirect	0094-1190	1095-9068	19	12	20	16	52	24	5	23	21	21	48	10	271	74	197
Journal of Vascular and Interventional Radiology	Elsevier	ScienceDirect	1051-0443	1535-7732	36	15	22	10	24	27	39	11	50	11	13	5	263	103	160
Journal of Vascular Nursing	Elsevier	ScienceDirect	1062-0303		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Journal of Vascular Surgery	Elsevier	ScienceDirect	0741-5214	1097-6809	67	76	116	67	82	44	90	22	74	44	74	19	775	329	446
Journal of Verbal Learning and Verbal Behavior	Elsevier	ScienceDirect	0022-5371		11	7	7	6	16	11	18	9	4	4	4	0	97	0	97
Journal of Virological Methods	Elsevier	ScienceDirect	0166-0934		6	10	12	9	0	7	6	7	18	5	8	2	90	58	32
Journal of Visual Communication and Image Representation	Elsevier	ScienceDirect	1047-3203		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Visual Languages & Computing	Elsevier	ScienceDirect	1045-926X	1095-8533	0	0	0	1	0	0	0	2	0	0	0	0	3	1	2
Journal of Visual Languages & Computing	Elsevier	ScienceDirect	1045-926X	1095-8533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Vocational Behavior	Elsevier	ScienceDirect	0001-8791	1095-9084	40	108	22	50	46	73	75	95	24	22	25	78	658	289	369
Journal of Voice	Elsevier	ScienceDirect	0892-1997		4	8	11	6	2	3	8	3	0	1	5	2	53	20	33
Journal of Volcanology and Geothermal Research	Elsevier	ScienceDirect	0377-0273		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Wilderness Medicine	Elsevier	ScienceDirect	0953-9859		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Wind Engineering and Industrial Aerodynamics	Elsevier	ScienceDirect	0167-6105		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Journal of World Business	Elsevier	ScienceDirect	1090-9516		2	3	2	0	12	11	2	2	5	7	3	3	52	25	27
Journal of X-Ray Science and Technology	Elsevier	ScienceDirect	0895-3996		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
King Saud University Journal of Dental Sciences	Elsevier	ScienceDirect	2210-8157		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Knowledge Acquisition	Elsevier	ScienceDirect	1042-8143		0	0	0	0	0	0	2	0	0	0	0	0	2	0	2
Knowledge-Based Systems	Elsevier	ScienceDirect	0950-7051		0	2	0	0	0	0	0	0	0	2	4	0	8	2	6
Krankenhaus-Hygiene + InfektionsverhÃ¼tung	Elsevier	ScienceDirect	0720-3373		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'AnnÃ©e Biologique	Elsevier	ScienceDirect	0003-5017		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'Anthropologie	Elsevier	ScienceDirect	0003-5521		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
La Revue de MÃ©decine Interne	Elsevier	ScienceDirect	0248-8663		0	1	1	0	0	0	0	0	0	0	0	0	2	1	1
Laboratory Automation & Information Management	Elsevier	ScienceDirect	1381-141X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labour Economics	Elsevier	ScienceDirect	0927-5371		0	1	4	1	0	0	4	1	0	4	0	2	17	7	10
Land Use Policy	Elsevier	ScienceDirect	0264-8377		0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
Landscape and Urban Planning	Elsevier	ScienceDirect	0169-2046		0	0	2	0	0	0	0	3	0	0	1	2	8	3	5
